Offset,K1,K2,K3,K4,K5,K6,K7
37065,0,1,1,0,1,1,1
37093,0,0,1,0,1,1,1
37118,0,0,1,0,1,0,1
37121,0,0,1,0,1,0,0
37130,0,0,1,0,0,0,0
37139,0,0,0,0,0,0,0
37225,0,0,0,0,0,1,1
37236,0,0,1,0,0,1,1
37239,1,0,1,0,0,1,1
37299,0,0,1,0,0,1,1
37306,0,0,1,0,0,1,0
37311,0,0,1,0,1,1,0
37313,0,1,1,1,1,1,0
37317,0,1,1,1,1,0,0
37335,0,1,0,1,1,0,0
37395,0,1,0,1,0,0,0
37400,0,1,0,1,0,0,1
37408,0,1,0,0,0,0,1
37411,1,1,1,0,0,1,1
37451,1,0,1,0,0,1,1
37479,0,0,1,0,0,1,1
37484,0,0,1,0,1,1,1
37495,0,0,0,0,1,1,1
37500,0,0,0,1,1,1,1
37511,0,0,0,1,1,0,0
37559,0,0,0,1,0,0,0
37564,0,1,0,1,0,0,0
37572,1,1,0,1,0,0,0
37574,1,1,0,0,0,0,0
37635,1,1,1,0,0,0,0
37644,0,1,1,0,0,0,0
37651,0,0,1,0,0,0,0
37724,1,0,1,0,0,0,0
37726,1,0,1,0,0,0,1
37735,1,0,1,1,0,0,1
37744,1,0,0,1,0,0,1
37791,1,0,0,1,0,0,0
37799,0,0,0,1,0,0,0
37809,0,0,0,0,0,0,0
37903,0,0,0,0,1,1,0
37911,0,1,1,0,1,1,0
37949,0,1,1,0,1,0,0
37964,0,0,0,0,0,0,0
38053,0,0,0,1,0,0,0
38059,0,0,0,1,0,1,0
38071,0,1,0,1,0,1,0
38115,0,1,0,1,0,0,0
38136,0,0,0,0,0,0,0
38155,0,0,0,0,1,0,0
38231,0,0,0,0,1,0,1
38233,0,0,1,0,1,0,1
38235,1,0,1,0,1,0,1
38247,1,0,1,0,0,1,1
38283,1,0,1,0,0,0,1
38291,0,0,1,0,0,0,0
38297,0,0,0,0,0,0,0
38347,0,1,0,0,0,0,1
38352,0,1,0,1,0,0,1
38362,0,1,0,1,0,1,1
38408,0,1,0,1,0,1,0
38411,0,1,0,1,0,0,0
38416,0,1,0,0,0,0,0
38426,0,0,0,0,0,0,0
38451,0,0,1,0,1,0,0
38453,1,0,1,0,1,0,0
38502,0,0,1,0,1,0,0
38514,0,0,0,0,1,0,0
38528,0,0,0,0,1,0,1
38536,0,0,0,0,0,0,1
38539,0,0,0,1,0,0,1
38569,0,1,0,1,0,0,1
38572,1,1,0,1,0,0,1
38584,1,1,0,1,0,0,0
38602,1,1,0,0,0,0,0
38626,1,0,0,0,0,0,0
38636,0,0,0,0,0,0,0
38656,0,0,0,0,0,0,1
38664,0,0,0,0,1,0,1
38671,0,0,1,0,1,0,1
38724,0,0,1,0,1,0,0
38734,0,0,1,0,0,0,0
38752,0,0,0,0,0,0,0
38776,0,0,0,1,0,0,0
38778,0,1,0,1,0,0,0
38786,1,1,0,1,0,0,0
38792,1,1,0,1,0,1,0
38832,1,1,0,1,0,0,0
38834,1,0,0,1,0,0,0
38839,0,0,0,1,0,0,0
38842,0,0,0,0,0,0,0
38889,0,0,0,0,1,0,0
38893,0,0,0,0,1,0,1
38909,1,1,1,0,1,0,1
38960,1,1,1,0,1,0,0
38967,0,1,1,0,0,0,0
38973,0,0,0,0,0,0,0
39066,0,0,0,1,0,0,0
39134,0,0,0,1,0,0,1
39141,0,0,0,1,1,0,1
39149,1,1,1,1,1,0,1
39152,1,1,1,0,1,0,1
39186,0,1,1,0,1,0,1
39191,0,0,1,0,1,0,1
39193,0,0,1,0,0,0,1
39200,0,0,0,0,0,0,1
39206,0,0,0,0,0,0,0
39392,0,1,1,0,1,1,1
39394,1,1,1,0,1,1,1
39432,1,1,1,0,1,0,1
39434,1,1,1,0,1,0,0
39444,0,0,0,0,0,0,0
39561,0,0,0,1,0,0,0
39564,0,0,1,1,0,0,0
39569,0,0,1,1,0,1,0
39623,0,0,1,1,0,0,0
39629,0,0,1,0,0,0,0
39643,0,0,1,0,1,0,0
39655,0,1,1,0,1,0,0
39664,1,1,0,0,1,0,0
39730,0,1,0,0,1,0,0
39736,0,1,0,0,0,1,0
39739,0,1,1,0,0,1,0
39754,0,0,1,0,0,1,0
39806,0,0,0,0,0,1,0
39808,0,0,0,0,0,1,1
39815,0,0,0,1,0,1,1
39831,0,0,0,1,0,0,1
39879,0,0,0,0,0,0,1
39889,0,0,0,0,1,0,1
39898,0,1,0,0,1,0,1
39901,1,1,0,0,1,0,1
39911,1,1,0,0,1,0,0
39950,0,1,0,0,1,0,0
39956,0,0,0,0,1,0,0
39979,0,0,1,0,1,0,0
39988,0,0,1,0,0,1,0
40048,0,0,1,1,0,1,0
40061,0,0,0,1,0,1,1
40072,1,0,0,1,0,1,1
40088,1,0,0,1,0,0,1
40129,1,0,0,0,0,0,1
40140,1,1,0,0,1,0,1
40152,0,1,0,0,1,0,0
40212,0,1,1,0,1,0,0
40216,1,1,1,0,1,0,0
40224,1,1,1,0,1,0,1
40226,1,1,1,1,1,0,1
40229,1,1,1,1,1,1,1
40243,1,1,1,1,0,1,1
40259,1,0,1,1,0,1,1
40296,1,0,1,1,0,0,1
40302,1,0,0,1,0,0,0
40306,0,0,0,1,0,0,0
40309,0,0,0,0,0,0,0
40407,0,0,0,0,1,0,0
40478,0,0,0,0,1,0,1
40482,0,0,0,0,1,1,1
40487,0,0,1,1,1,1,1
40495,1,0,1,1,1,1,1
40497,1,0,1,1,0,1,1
40552,0,0,1,1,0,1,1
